Name Nerf Vortex Praxis
ShortName nerfPraxis
//The ammo this gun uses (shortName)
Ammo 10DiscClip
Ammo 20DiscClip
Ammo 40DiscDrum
Icon Praxis
//Colour in Red, Green, Blue, each going up to 255.
Colour 255 255 255
ItemID 23982
//Reload time in ticks, 1/20ths of a second
ReloadTime 48
//The amount of gun recoil, all relative : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 0
//Damage in half hearts
Damage 0
//The higher this value, the more the bullets spread
Accuracy 4
//Time in ticks between rounds
ShootDelay 10
ShootSound PraxisShoot
ReloadSound PraxisReload
Mode SemiAuto
Scope None
Deployable False
DeployedModel None
//Bullet Speed, default 3.0
BulletSpeed 1.3
