////Name and icon
Name Anti-Tank Mine
ShortName ww2Mine
Icon WW2Mine
//Colour in Red, Green, Blue, each going up to 255
Colour 255 255 255
////Item and recipe
ItemID 23698
StackSize 4
////Visuals
Model ww2.Mine
Texture WW2Mine
TrailParticles false
//TrailParticleType <particleType>
ExplodeParticles 0
//ExplodeParticleType <particleType>
SmokeTime 0
//SmokeParticleType <particleType>
SpinWhenThrown false
////Throwing
ThrowDelay 10
//ThrowSound <sound>
//DropItemOnThrow <itemID.damage>
////Physics
DetonateOnImpact false
Bounciness 0.0
HitEntityDamage 0
ThrowSpeed 0.0
FallSpeed 1.0
BreaksGlass false
PenetratesBlocks false
HitBoxSize 0.5
Sticky false
//BounceSound <sound>
////Detonation conditions
VehicleProximityTrigger 1.0
LivingProximityTrigger -1.0
Fuse 0
DetonateWhenShot true
Remote false
DespawnTime 12000
PrimeDelay 100
////Detonation
FireRadius 0.0
ExplosionRadius 5.0
ExplosionBreaksBlocks true
//DropItemOnDetonate <itemID.damage>
//Detonate Sound <sound>
////Misc
MeleeDamage 2
