Name Kar98k
ShortName kar98k
//The ammo this gun uses (shortName)
Ammo kar98kAmmo
Icon kar98k
//Colour in Red, Green, Blue, each going up to 255.
Colour 255 255 255
ItemID 23561
//Reload time in ticks, 1/20ths of a second
ReloadTime 60
//The amount of gun recoil, all relative : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 10
//Damage in half hearts
Damage 10
//The higher this value, the more the bullets spread
Accuracy 3
//Time in ticks between rounds
ShootDelay 30
ShootSound kar98kShoot
ReloadSound kar98kReload
Mode SemiAuto
//Bullet speed, default 3.0
BulletSpeed 10.0
Scope None
Deployable False
DeployedModel None
Model ww2.Kar98k
Texture SkinKar98k
ModelScale 0.6
AllowAttachments ZF4Scope
AllowBarrelAttachments false
AllowScopeAttachments true
AllowStockAttachments false
AllowGripAttachments false
