Name Desert Eagle
ShortName desertEagle
//The ammo this gun uses (shortName)
Ammo desertEagleAmmo
Icon DesertEagle
//Colour in Red, Green, Blue, each going up to 255.
Colour 255 255 255
ItemID 23847
//Reload time in ticks, 1/20ths of a second
ReloadTime 40
//The amount of gun recoil, all relative : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 3
//Number of bullet entities to create, useful for shotguns, defaults to 1
NumBullets 1
//Damage in half hearts
Damage 8
//The higher this value, the more the bullets spread
Accuracy 6
//Time in ticks between rounds
ShootDelay 1
ShootSound DesertEagleShoot
ReloadSound lugerReload
Mode SemiAuto
Scope None
Deployable False
DeployedModel None
