Name Luger
ShortName luger
//The ammo this gun uses (shortName)
Ammo lugerAmmo
Icon luger
//Colour in Red, Green, Blue, each going up to 255.
Colour 255 255 255
ItemID 23564
//Reload time in ticks, 1/20ths of a second
ReloadTime 40
//The amount of gun recoil, all relative : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 4
//Damage in half hearts
Damage 4
//The higher this value, the more the bullets spread
Accuracy 5
//Time in ticks between rounds
ShootDelay 10
ShootSound lugerShoot
ReloadSound lugerReload
Mode SemiAuto
Scope None
Deployable False
DeployedModel None
