Name MLRS6 Ammo
ShortName mlrs6Ammo
Model mw.Rocket
Texture Rocket
//Colour of icon and model
Colour 255 255 255
Icon MLRS6Ammo
//How affected by gravity the bullet is
FallSpeed 0.3
//The maximum stack size
MaxStackSize 12
//The number of rounds each item has. Limited to 32000.
RoundsPerItem 1
//The damage multiplier caused by the bullet on hitting an entity
DamageVsLiving 20
DamageVsVehicles 350
//Size of explosion caused
Explosion 2
//True if bullet explodes on hitting anything. Fuse denotes the maximum time it may spend in the air before detonating
ExplodeOnImpact True
ExplosionBreaksBlocks false
Fuse 700
FlakParticles 12
FlakParticleType flame
//Amount of fire to spread on exploding; for each increment, it will increase the dimensions of the burning area by 2. i.e. 1 will burn a 3x3 square, 2 will burn a 5x5 square
Fire 0
BreaksGlass True
//Size of box to check for entities to hit / detonate
HitBoxSize 0.8
HitSound bullet
//Whether or not the bullet can travel through an entity having hit it
Penetrates False
SmokeTrail True
TrailParticleType flame
LockOnForce 20
LockOnToPlanes True
LockOnToVehicles True
LockOnToMechas True
LockOnToPlayers False
LockOnToLivings False
MaxLockOnAngle 300.0
Description Rocket Launcher Ammo :
