////Name and icon
Name PAW20 Ammo
ShortName paw20Ammo
Icon PAW20Ammo
//Colour in Red, Green, Blue, each going up to 255
Colour 255 255 255
//The maximum stack size
MaxStackSize 2
//The number of rounds each item has. Limited to 32000.
RoundsPerItem 8
////Visuals
Model jamespostmodernweapons.RoundGrenade
Texture RoundGrenade
SmokeTrail True
TrailParticles 1
TrailParticleType flame
ExplodeParticles 6
ExplodeParticleType flame
SmokeTime 0
//SmokeParticleType <particleType>
SpinWhenThrown true
////Throwing
CanThrow False
ThrowDelay 10
//ThrowSound <sound>
//DropItemOnThrow <itemID.damage>
////Physics
DetonateOnImpact true
Bounciness 0.8
HitEntityDamage 1
ThrowSpeed 8.0
FallSpeed 0.2
BreaksGlass true
PenetratesBlocks false
HitBoxSize 0.5
Sticky false
//BounceSound <sound>
////Detonation conditions
VehicleProximityTrigger -1.0
LivingProximityTrigger -1.0
Fuse 120
DetonateWhenShot true
Remote false
//DespawnTime 0
PrimeDelay 5
////Detonation
FireRadius 0.0
ExplosionRadius 4.0
ExplosionBreaksBlocks false
//DropItemOnDetonate <itemID.damage>
//Detonate Sound <sound>
//Description - note the ammo type
Description Grenade Launcher Ammo : 20mm round filled with a gun powder/magnesium mixture. Dentonates via impact.
