Name Nerf Raider
ShortName nerfRaider
//The ammo this gun uses (shortName)
Ammo 6DartClip
Ammo 18DartClip
Ammo 35DartDrum
Icon Raider
//Colour in Red, Green, Blue, each going up to 255.
Colour 255 255 255
ItemID 23920
//Reload time in ticks, 1/20ths of a second
ReloadTime 20
//The amount of gun recoil, all relative : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 0
//Damage in half hearts
Damage 0
//The higher this value, the more the bullets spread
Accuracy 5
//Time in ticks between rounds
ShootDelay 8
ShootSound RaiderShoot
ReloadSound RaiderReload
Mode SemiAuto
Scope None
Deployable False
DeployedModel None
//Bullet Speed, default 3.0
BulletSpeed 1.0
